[ost_a.smc]
CC: iog_adrift; Adrift; Illusion of Gaia; Yasuhiro Kawasaki; Gi Nattak; Joel Robinson
CD: sd3_wolf; Left Handed Wolf; Seiken Densetsu 3; Hiroki Kikuta; Gi Nattak; mfvitools
CE: ej2_lorenzo; Lorenzo's Soil; Earthworm Jim 2; Tommy Tallarico; Gi Nattak; Sivak Drac
CF: z3_dark_world; Dark World; The Legend of Zelda: A Link to the Past; Koji Kondo; Gi Nattak; Jorge D. Fuentes
D0: ffmq_boss; Boss Theme; Final Fantasy Mystic Quest; Ryuji Sasai, Yasuhiro Kawakami; Jackimus; Jackimus
D1: ffmq_king; Dark King; Final Fantasy Mystic Quest; Ryuji Sasai, Yasuhiro Kawakami; Jackimus; Jackimus
D2: cc_emotions; Singing Emotions; Chrono Cross; Yasunori Mitsuda; Gi Nattak; aizel
D3: vp_leaf; Turn Over a New Leaf; Valkyrie Profile; Motoi Sakuraba; Gi Nattak; Ed76638
D4: skd2_neclord; Gothic Neclord; Suikoden II; Miki Higashino, Keiko Fukami; Jackimus; Jackimus
D5: mmx_storm_mammoth; Storm Mammoth (Storm Eagle & Flame Mammoth mix/medley); Mega Man X; Alph Lyla group; Jackimus; Jackimus
D6: gs2_battle; Felix Battle Theme; Golden Sun 2; Motoi Sakuraba; Jackimus; Jackimus
D7: fz_field; Fire Field (Metal Remix); F-Zero; Yumiko Kanki, Naoto Ishida; Gi Nattak; Jay Reichard
D8: ffl2_aspiration; Aspiration; Final Fantasy Legend II; Kenji Ito; Gi Nattak; Steve Ragnone
D9: top_village; Ary Village; Tales of Phantasia; Motoi Sakuraba, Shinji Tamura; Gi Nattak; Dr. Fruitcake
DA: evo_boss; Boss Theme; E.V.O. Search for Eden; Koichi Sugiyama; Gi Nattak; NeoVelocity
DB: som_danger; Danger; Secret of Mana; Hiroki Kikuta; Gi Nattak; FF5→FF6 MCS2
DC: z3_village; Kakariko Village; The Legend of Zelda: A Link to the Past; Koji Kondo; Gi Nattak; Thomas Rungeard
DD: smrpg_smithy; Fight Against Smithy; Super Mario RPG; Yoko Shimomura; Jackimus; Jackimus
DE: ff7_costa; Costa Del Sol; Final Fantasy VII; Nobuo Uematsu; emberling; gamerip (PC)
DF: smtd_boss; Boss Theme; Super Metroid/Prime; Minako Hamano, Kenji Yamamoto; Jackimus; Jackimus
E0: ff9_final; The Final Battle; Final Fantasy IX; Nobuo Uematsu; Gi Nattak; Eli Dirkx
E1: ff11_recollection; Recollection; Final Fantasy XI; Nobuo Uematsu; Gi Nattak; Kago
E2: ff6_ending; Ending Song 2; Final Fantasy VI; Nobuo Uematsu; N/A; N/A
E3: ff5_hurry; Hurry! Hurry!; Final Fantasy V; Nobuo Uematsu; Gi Nattak; FF5→FF6 MCS2
E4: ff5_book; Sealed Book; Final Fantasy V; Nobuo Uematsu; Gi Nattak; FF5→FF6 MCS2
E5: pg_carol_anne; Carol Anne's Theme; Poltergheist; Jerry Goldsmith; Gi Nattak; unknown
E6: ff4_paladin; The Paladin; Final Fantasy IV; Nobuo Uematsu; Gi Nattak; mfvitools
E7: rtsd_overworld; Overworld; RPG Tsukuru Super Dante; Shigeharu Isoda, Mitsuhiro Arisaka; Gi Nattak; darkgreen_orange
E8: lf_war; Spoils of War; Lufia; Yasunori Shiono; Gi Nattak; SinclairC
E9: ff7_god; Birth of a God; Final Fantasy VII; Nobuo Uematsu; emberling; gamerip (PC)
EA: totr_chaser; Spirit Chaser; Treasure of the Rudras; Ryuji Sasai; Gi Nattak, emberling; Robert Hansson, spc2it
EB: swom_pain; Unrelenting Pain; Sword of Mana; Kenji Ito; Gi Nattak; Black_Wing
EC: dbz_battle; Battle Theme #7; Dragon Ball Z Budokai; Kenji Yamamoto; Gi Nattak; Jay Reichard
ED: fnaf_travel; 8 Bit Travel; Five Nights at Freddys; Leon Riskin; Gi Nattak; vomitsprinkler
EE: ff6_maria; Draco and Maria Singing; Final Fantasy VI; Nobuo Uematsu; N/A; N/A
EF: trnm_ressurection; Ressurection; Terranigma; Masanori Hikichi; Gi Nattak; Gigasoft
F0: tc_title; Title; Treasure Conflix; Junya Nakano; Gi Nattak; SPC injection
F1: wa_win; Win!; Wild Arms; Michiko Naruke; Gi Nattak; SinclairC
F2: lf2_island; Island in the Void; Lufia II; Yasunori Shiono; Gi Nattak; SinclairC
F3: xng_awakening; Awakening; Xenogears; Yasunori Mitsuda; Gi Nattak; FF-Xeno
F4: ff8_force; Force Your Way; Final Fantasy VIII; Nobuo Uematsu; emberling; VGMTrans
F5: rs_tears; Heartfelt Tears; Romancing Saga; Kenji Ito; Gi Nattak; SaGaUpLoader
F6: ebrk_berserker; Berserker; Energy Breaker; Yasunori Shiono; Gi Nattak; Willow
F7: emnm_influence; Under the Influence; Eminem; Dr. Dre; Gi Nattak; unknown
F8: arcana_armageddon; Second Armageddon; Arcana; Jun Ishikawa, Hirokazu Ando; Gi Nattak; Steve Ragnone
F9: rs3_devils; Four Noble Devils; Romancing Saga 3; Kenji Ito; Gi Nattak; SPC injection
FA: ff7_flowers; Flowers Blooming in the Church; Final Fantasy VII; Nobuo Uematsu; Gi Nattak; gamerip (PC)
