[ost_a.smc]
17: sd3_winter; Another Winter; Seiken Densetsu 3; Hiroki Kikuta; emberling
18: sd3_paths; Few Paths Forbidden; Seiken Densetsu 3; Hiroki Kikuta; Gi Nattak
19: xnb_gaur; Gaur Plains; Xenoblade; ACE+; Jackimus
1A: swon_courage; Touched by Courage and Pride; Sword of Mana; Kenji Ito; Gi Nattak
1B: fmgh_silencer; Silencer; Front Mission: Gun Hazard; N. Uematsu, Y. Mitsuda, J. Nakano, M. Hamauzu; Gi Nattak
1C: bl_matelite; Matelite's Theme; Bahamut Lagoon; Noriko Matsueda; Gi Nattak
1D: rs_village; Deserted Village; Romancing Saga; Kenji Ito; Gi Nattak
1F: ff5_exdeath; The Evil Lord Exdeath; Final Fantasy V; Nobuo Uematsu; Gi Nattak
20: smw2_castle; Castle; Super Mario World 2: Yoshi's Island; Koji Kondo; Gi Nattak
21: ff4_illus_world; Illusionary World; Final Fantasy IV; Nobuo Uematsu; Gi Nattak
22: ot_sunshade; Sunshade City; Octopath Traveler; Yasunori Nishiki; emberling
23: rng_cathedral; Cursed Cathedral; RednGreen; RednGreen Music; Gi Nattak
24: rs3_battle; The Battle; Romancing Saga 3; Kenji Ito; Gi Nattak
25: swom_battlefield; Endless Battlefield; Sword of Mana; Kenji Ito; Gi Nattak
27: smtd_crateria; Crateria; Super Metroid; Minako Hamano, Kenji Yamamoto; emberling
28: xnbc2_tantal; Kingdom Of Tantal (Day); Xenoblade Chronicles 2; ACE; emberling
29: cc_dragon; Ancient Dragon's Stronghold; Chrono Cross; Yasunori Mitsuda; emberling
2A: swom_village; Village; Sword of Mana; Kenji Ito; Gi Nattak
2B: sd3_counterpoint; Weird Counterpoint; Seiken Densetsu 3; Hiroki Kikuta; emberling
2C: fe_truth; Truth, Despair, and Hope; Fire Emblem: The Sacred Stones; Yoshihiko Kitamura, Saki Haruyama, Yoshito Hirano; Gi Nattak
2D: bof3_farm; The Farm; Breath of Fire 3; Yoshino Aoki, Akari Kaida; Gi Nattak
2E: rs2_kujinshi; Battle With Kujinshi; Romancing Saga 2; Kenji Ito; Gi Nattak
2F: ffmq_victory; Victory Theme; Final Fantasy Mystic Quest; Ryuji Sasai, Yasuhiro Kawakami; emberling
30: ff10_path; Path of Repentance; Final Fantasy X; Nobuo Uematsu; emberling
31: eb_snowman; Snowman; Earthbound; Keiichi Suzuki, Hirokazu Tanaka; Gi Nattak
32: ffx_battle; Battle; Final Fantasy X; Nobuo Uematsu; emberling
33: totr_battle; Battle for the Fields; Treasure of the Rudra; Ryuji Sasai; Gi Nattak
34: dkcl2_garden; Garden of Memories; Dark Cloud 2; Tomohito Nishiura; Cecil188
35: ffmq_gale; Mount Gale; Final Fantasy Mystic Quest; Ryuji Sasai, Yasuhiro Kawakami; emberling
36: som_intruder; Holy Intruder; Secret of Mana; Hiroki Kikuta; emberling
37: rs3_katrina; Katrina's Theme; Romancing Saga 3; Kenji Ito; Gi Nattak
38: ff4_night; Good Night; Final Fantasy IV; Nobuo Uematsu; Tsushiy
39: cc_arni; Arni Village; Chrono Cross; Yasunori Mitsuda; Gi Nattak, emberling
3B: sgf_battle; Battle #3; Saga Frontier; Kenji Ito; Tsushiy
